operation,file_size_mb,client_pool_size,server_pool_size,executor_type,success_count,fail_count,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,timestamp
upload,10,1,50,process,1,0,0.24204492568969727,0.24204492568969727,0.24204492568969727,0.24204492568969727,43321544.420405634,43321544.420405634,43321544.420405634,43321544.420405634,2025-05-24 18:13:00
upload,10,5,50,process,5,0,0.2030411720275879,0.2086641788482666,0.18328070640563965,0.22786378860473633,51997685.58801958,50251845.1316212,46017667.23974344,57211477.441563085,2025-05-24 18:13:00
upload,10,50,50,process,50,0,1.8194555807113648,1.8723121881484985,1.25193452835083,2.1029343605041504,5835856.109931837,5600434.63347632,4986251.6857093815,8375645.660810125,2025-05-24 18:13:02
upload,50,1,50,process,1,0,1.6821000576019287,1.6821000576019287,1.6821000576019287,1.6821000576019287,31168657.15749672,31168657.15749672,31168657.15749672,31168657.15749672,2025-05-24 18:13:04
upload,50,5,50,process,5,0,2.1457873344421388,2.1528141498565674,2.0472066402435303,2.2172422409057617,24456133.44378,24353611.76137434,23645950.375987064,25609920.84011764,2025-05-24 18:13:06
upload,50,50,50,process,50,0,78.16215735912323,78.53711664676666,62.023775577545166,79.15617966651917,671519.680252178,667567.2157602136,662346.265583809,845301.6526614209,2025-05-24 18:14:26
upload,100,1,50,process,1,0,6.732065200805664,6.732065200805664,6.732065200805664,6.732065200805664,15575844.391324537,15575844.391324537,15575844.391324537,15575844.391324537,2025-05-24 18:14:32
upload,100,5,50,process,5,0,9.010493612289428,8.848575115203857,8.699244499206543,9.784465789794922,11658062.778003152,11850224.316888137,10716742.462257387,12053644.429647202,2025-05-24 18:14:42
upload,100,50,50,process,50,0,320.10582450389865,351.08377969264984,175.90008115768433,369.85649609565735,341450.5569717403,298670.8964227056,283508.8773805944,596120.2479832922,2025-05-24 18:20:53
download,10,1,50,process,1,0,0.19355082511901855,0.19355082511901855,0.19355082511901855,0.19355082511901855,54175744.244707204,54175744.244707204,54175744.244707204,54175744.244707204,2025-05-24 18:21:28
download,10,5,50,process,5,0,0.21991043090820311,0.22527647018432617,0.18862128257751465,0.24785232543945312,48287871.039260976,46546183.85764088,42306482.22246164,55591605.87136203,2025-05-24 18:21:29
download,10,50,50,process,50,0,1.5803754949569702,1.6391617059707642,0.668165922164917,1.8751943111419678,6847650.1989423605,6397090.537661901,5591825.837832408,15693347.493726118,2025-05-24 18:21:31
download,50,1,50,process,1,0,0.7377505302429199,0.7377505302429199,0.7377505302429199,0.7377505302429199,71065757.1235316,71065757.1235316,71065757.1235316,71065757.1235316,2025-05-24 18:21:33
download,50,5,50,process,5,0,1.066019058227539,1.0743279457092285,1.0327951908111572,1.0792508125305176,49194503.197285905,48801485.81203349,48578883.97329095,50763985.41207616,2025-05-24 18:21:35
download,50,50,50,process,50,0,54.36442120552063,57.12315213680267,46.13971710205078,62.711243867874146,979573.881839001,917833.7612616526,836035.0834447144,1136305.189822451,2025-05-24 18:22:51
download,100,1,50,process,1,0,2.6792290210723877,2.6792290210723877,2.6792290210723877,2.6792290210723877,39137229.096611425,39137229.096611425,39137229.096611425,39137229.096611425,2025-05-24 18:23:01
download,100,5,50,process,5,0,3.744815635681152,3.839482307434082,3.554872512817383,3.881021022796631,28042459.709853258,27310348.532397877,27018044.835129622,29496866.518258356,2025-05-24 18:23:10
download,100,50,50,process,50,0,178.13885126590728,199.65078568458557,99.09345197677612,235.52484774589539,645578.8749044818,525208.2768378673,445208.227512069,1058168.8084150583,2025-05-24 18:27:28
